action:prompt_begin Resumption interrupted !!!;action:prompt_begin Yeniden başlatma kesildi !!!
action:prompt_begin This is a test macro;action:prompt_begin Bu bir test makrosudur
action:prompt_text Add _GUPPY_MACRO to mod_data/user.cfg;action:prompt_text mod_data/user.cfg dosyasına _GUPPY_MACRO ekleyin
action:prompt_text Example of _GUPPY_MACRO is in mod/base.cfg;action:prompt_text _GUPPY_MACRO örneği mod/base.cfg dosyasındadır
Adaptive bed;Uyarlanabilir Yatak
After clicking OK the printer will be powered off;OK butonuna tıklandıktan sonra yazıcı kapanacaktır.
After macro execution press Ctrl + F5;Makro çalıştırıldıktan sonra Ctrl + F5 tuşlarına basın
Algorithm: {zclear};Algoritma: {zclear}
Allow Chinese clouds;Çin bulutlarına izin ver
All START_PRINT parameters for bed leveling are ignored;Yatak hizalama için tüm START_PRINT parametreleri dikkate alınmaz
Auto close dialogs on native screen after 20 sec (fast);Yerel ekrandaki iletişim kutularını 20 saniye sonra otomatik kapat (hızlı)
Auto close dialogs on native screen after 20 sec (slow);Yerel ekrandaki iletişim kutularını 20 saniye sonra otomatik kapat (yavaş)
Auto disable motors after print/cancel in 25 sec;Yazdırma/iptalden sonra motorları 25 saniyede otomatik devre dışı bırak
Automatic printer shutdown in {pro_poweroff_timeout} min;Yazıcının otomatik kapanması {pro_poweroff_timeout} dakika içinde
Automatic reboot in 1.5 minutes;Otomatik yeniden başlatma 1.5 dakika içinde
Auto reboot printer after 1.5 minutes;Yazdırmadan sonra yazıcıyı 1.5 dakika içinde otomatik yeniden başlat
Auto restart firmware after 1.5 minutes;Yazdırmadan sonra firmware'ı 1.5 dakika içinde otomatik yeniden başlat
Backup config files to archive;Yapılandırma dosyalarını arşive yedekle
Bed calibration. Profile {profile}. Extruder temp: {extruder_temp} / Bed temp: {bed_temp};Yatak Kalibrasyonu. Profil {profile}. Ekstrüder sıcaklığı: {extruder_temp} / Yatak sıcaklığı: {bed_temp}
Bed calibration without temperature off;Sıcaklık kapatılmadan yatak kalibrasyonu
Bed calibration with temperature off;Sıcaklık kapatılarak yatak kalibrasyonu
Bed mesh {mesh} loaded;Yatak ağı {mesh} yüklendi
Bed mesh {mesh} not found. Loaded auto profile;Yatak ağı {mesh} bulunamadı. Otomatik profil yüklendi
